mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	19/2	19/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	46									6
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	47									
5	4	11	11	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	48									
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	49									
5	4	19/2	19/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	50									7
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	51									
5	4	11	11	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	52									
5	4	12	12	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	53									
5	4	19/2	19/2	1.5	0	0	Chord	6/8	3	1	3/8			1/4	3/2	54									8
5	4	11	11	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	55									
5	4	19/2	19/2	1.5	0	0	Chord	6/8	4	1	3/8			1/4	3/2	56									
5	4	11	11	1.0	3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	57									
6	5	25/2	25/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	58									
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	59									
6	5	14	14	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	60									
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	61									
6	5	25/2	25/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	62									
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	63									
6	5	14	14	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	64									
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	65									
6	5	13	13	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	66									
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	67									
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	68									
6	5	15	15	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	69									
6	5	13	13	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	70									
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	71									
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	72									
6	5	15	15	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	73									
7	6	31/2	31/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	74									
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	75									
7	6	17	17	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	76									
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	77									
7	6	31/2	31/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	78									
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	79									
7	6	17	17	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	80									
7	6	18	18	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	81									
7	6	16	16	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	82									9
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	83									
7	6	17	17	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	84									10
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	85									10
7	6	18	18	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	86									
7	6	16	16	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	87									11
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	88									
7	6	17	17	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	89									12
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	90									12
7	6	18	18	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	91									
8	7	37/2	37/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	92									
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	93									
8	7	20	20	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	94									13
8	7	41/2	41/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	95									13
8	7	21	21	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	96									
8	7	37/2	37/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	97									
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	98									
8	7	37/2	37/2	1.0	0	0	Chord	6/8	3	1	1/4			1/4	1	99									
8	7	21	21	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	100									
8	7	37/2	37/2	1.0	0	0	Chord	6/8	4	1	1/4			1/4	1	101									
8	7	21	21	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	102									
9	8	43/2	43/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	103									14
9	8	23	23	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	104									
9	8	43/2	43/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	105									15
9	8	23	23	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	106		articStaccatoBelow							
9	8	43/2	43/2	1.5	0	0	Chord	6/8	3	1	3/8			1/4	3/2	107									16
9	8	23	23	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	108		articStaccatoBelow							
9	8	43/2	43/2	1.0	0	0	Chord	6/8	4	1	1/4			1/4	1	109									
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	110									
9	8	23	23	1.0	3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	111		articStaccatoBelow							
10	9	49/2	49/2	0.0	0	0	Dynamic	6/8	1	1	0						pp								
10	9	49/2	49/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	112		articStaccatoAbove							17
10	9	25	25	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	113		articStaccatoAbove							17
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	114		articStaccatoAbove							17
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	115		articStaccatoAbove							17
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	116		articStaccatoAbove							17
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	117		articStaccatoAbove							
11	10	55/2	55/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	118		articStaccatoAbove							18
11	10	28	28	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	119		articStaccatoAbove							18
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	120		articStaccatoAbove							
11	10	29	29	0.0	3/8	3/8	StaffText	6/8	1	1	0								"<font size=""6.4""/><i>cresc.</i>"						
11	10	29	29	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	121									19
11	10	59/2	59/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	122									19
11	10	119/4	119/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	123									19
11	10	30	30	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	124									19
11	10	121/4	121/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	125									
11	10	55/2	55/2	0.0	0	0	StaffText	6/8	2	1	0								"<font size=""6.4""/><i>cresc.</i>"						
11	10	55/2	55/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	126									
11	10	28	28	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	127									
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	128									
11	10	29	29	1.5	3/8	3/8	Chord	6/8	2	1	3/8		r8	1/4	3/2	129									
11	10	55/2	55/2	0.0	0	0	StaffText	6/8	3	1	0								"<font size=""6.4""/><i>cresc.</i>"						
11	10	55/2	55/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	130									
11	10	28	28	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	131									
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	132									
11	10	29	29	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	133									
11	10	59/2	59/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	134									
11	10	30	30	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	135									
11	10	55/2	55/2	0.0	0	0	StaffText	6/8	4	1	0								"<font size=""6.4""/><i>cresc.</i>"						
11	10	55/2	55/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	136									
11	10	28	28	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	137									
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	138									
11	10	29	29	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	139									
11	10	59/2	59/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	140									
11	10	30	30	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	141									
12	11	61/2	61/2	0.0	0	0	Dynamic	6/8	1	1	0						f								
12	11	61/2	61/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	142		articStaccatoAbove							20
12	11	31	31	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	143		articStaccatoAbove							20
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	144		articStaccatoAbove							
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	145		articStaccatoAbove							
12	11	65/2	65/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	146									21
12	11	131/4	131/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	147									21
12	11	33	33	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	148									21
12	11	133/4	133/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	149									
12	11	61/2	61/2	0.0	0	0	Dynamic	6/8	2	1	0						f								
12	11	61/2	61/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	150									
12	11	31	31	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	151									
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	152									
12	11	32	32	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	153									
12	11	61/2	61/2	0.0	0	0	Dynamic	6/8	3	1	0						f								
12	11	61/2	61/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	154									
12	11	31	31	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	155									
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	156									
12	11	32	32	1.5	3/8	3/8	Chord	6/8	3	1	3/8			1/4	3/2	157									
12	11	61/2	61/2	0.0	0	0	Dynamic	6/8	4	1	0						f								
12	11	61/2	61/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	158									
12	11	31	31	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	159									
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	160									
12	11	32	32	1.5	3/8	3/8	Chord	6/8	4	1	3/8			1/4	3/2	161									
13	12	67/2	67/2	0.0	0	0	Dynamic	6/8	1	1	0						p								
13	12	67/2	67/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	162		articStaccatoAbove							22
13	12	34	34	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	163		articStaccatoAbove							22
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	164		articStaccatoAbove							
13	12	35	35	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	165									
13	12	67/2	67/2	0.0	0	0	Dynamic	6/8	2	1	0						p								
13	12	67/2	67/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	166									
13	12	34	34	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	167									
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	168									
13	12	35	35	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	169									
13	12	67/2	67/2	0.0	0	0	Dynamic	6/8	3	1	0						p								
13	12	67/2	67/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	170									
13	12	34	34	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	171									
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	172									
13	12	35	35	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	173									
13	12	67/2	67/2	0.0	0	0	Dynamic	6/8	4	1	0						p								
13	12	67/2	67/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	174									
13	12	34	34	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	175									
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	176									
13	12	35	35	1.0	3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	177									
14	13	73/2	73/2	0.0	0	0	Dynamic	6/8	1	1	0						pp								
14	13	73/2	73/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	178		articStaccatoAbove							23
14	13	37	37	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	179		articStaccatoAbove							23
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	180		articStaccatoAbove							
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	181		articStaccatoAbove							
14	13	77/2	77/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	182									24
14	13	155/4	155/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	183									24
14	13	39	39	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	184									24
14	13	157/4	157/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	185									
15	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	186		articStaccatoAbove							
15	14	40	40	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	187		articStaccatoAbove							
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	188		articStaccatoAbove							
15	14	41	41	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	189									
15	14	79/2	79/2	0.0	0	0	Dynamic	6/8	2	1	0						pp								
15	14	79/2	79/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	190		articStaccatoAbove							
15	14	40	40	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	191		articStaccatoAbove							
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	192		articStaccatoAbove							
15	14	41	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	193									
15	14	79/2	79/2	0.0	0	0	Dynamic	6/8	3	1	0						pp								
15	14	79/2	79/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	194		articStaccatoAbove							
15	14	40	40	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	195		articStaccatoAbove							
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	196		articStaccatoAbove							
15	14	41	41	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	197									
15	14	79/2	79/2	0.0	0	0	Dynamic	6/8	4	1	0						pp								
15	14	79/2	79/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	198		articStaccatoAbove							
15	14	40	40	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	199		articStaccatoAbove							
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	200		articStaccatoAbove							
15	14	41	41	1.0	3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	201									
16	15	85/2	85/2	0.0	0	0	Dynamic	6/8	1	1	0						f								
16	15	85/2	85/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	202									25
16	15	43	43	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	203									25
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	204									
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	205									26
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	206									26
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	207									
16	15	85/2	85/2	0.0	0	0	Dynamic	6/8	2	1	0						f								
16	15	85/2	85/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	208									27
16	15	43	43	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	209									27
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	210									
16	15	44	44	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	211									28
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	212									28
16	15	45	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	213									
16	15	85/2	85/2	0.0	0	0	Dynamic	6/8	3	1	0						f								
16	15	85/2	85/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	214									29
16	15	43	43	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	215									29
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	216									
16	15	44	44	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	217									30
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	218									30
16	15	45	45	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	219									
16	15	85/2	85/2	0.0	0	0	Dynamic	6/8	4	1	0						f								
16	15	85/2	85/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	220									31
16	15	43	43	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	221									31
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	222									
16	15	44	44	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	223									32
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	224									32
16	15	45	45	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	225									
17	16	91/2	91/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	226									33
17	16	47	47	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	227		articStaccatoBelow							
17	16	91/2	91/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	228									34
17	16	47	47	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	229		articStaccatoBelow							
17	16	91/2	91/2	1.5	0	0	Chord	6/8	3	1	3/8			1/4	3/2	230									35
17	16	47	47	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	231		articStaccatoBelow							
17	16	91/2	91/2	1.5	0	0	Chord	6/8	4	1	3/8			1/4	3/2	232									
17	16	47	47	1.0	3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	233		articStaccatoBelow							
18	17	97/2	97/2	0.0	0	0	Dynamic	6/8	1	1	0						p								
18	17	97/2	97/2	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	234									
18	17	97/2	97/2	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	235									
18	17	97/2	97/2	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	236									
18	17	97/2	97/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	237									
18	17	50	50	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16		1/16	1	238									
18	17	50	50	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16		1/16	1	239									
18	17	50	50	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16		1/16	1	240									
18	17	50	50	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	241									
18	17	97/2	97/2	0.0	0	0	Dynamic	6/8	2	1	0						p								
18	17	97/2	97/2	0.25	0	0	Chord	6/8	2	1	1/16			1/16	1	242									36
18	17	195/4	195/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16			1/16	1	243									36
18	17	49	49	0.25	1/8	1/8	Chord	6/8	2	1	1/16			1/16	1	244									36
18	17	197/4	197/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	245									36
18	17	99/2	99/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16			1/16	1	246									36
18	17	199/4	199/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	247									
18	17	50	50	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	248									37
18	17	201/4	201/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	249									37
